"Date of draw","Number of invitations","Stream","stream detail","Selection Parameters","Minimum EOI score of invited candidates"
"October 15, 2024","302","Tourism and Hospitality Stream","-","CLB or NCLC 4 or higher; Valid work permit based on a Labour Market Impact Assessment; Work permit expiry date of November 15, 2024 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is a member of an eligible Tourism and Hospitality Stream sector association; Job offer for an eligible Tourism and Hospitality Stream occupation; Work experience of 6 months or more in Alberta","70"
"November 4, 2024","65","Dedicated Health Care Pathway","Express Entry","Minimum Express Entry CRS score of 300 or more; Express Entry Profile expiry date is April 4, 2025 or later; Primary occupation in Express Entry profile is in a Dedicated Healthcare Pathway-eligible occupation; Job offer for full-time employment in Alberta; Job offer in a Dedicated Healthcare Pathway-eligible occupation; CLB or NCLC 5 or higher; Meet the requirements to practice in a regulated occupation in Alberta","51"
"November 4, 2024","33","Dedicated Health Care Pathway","non-Express Entry","CLB or NCLC 5 or higher; Not in the federal Express Entry pool; Job offer for full-time employment in Alberta in a Dedicated Healthcare Pathway-eligible occupation; Meet the requirements to practice in a regulated occupation in Alberta","44"
"November 7, 2024","226","Alberta Opportunity Stream","-","CLB or NCLC 5 or higher; Valid work permit; Work experience of 12 months or more; Work permit expiry date of November 15, 2024 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer in the construction sector; Pool registrants with Express Entry profiles were not included in this draw. Note: 39 of the total invitations were sent on December 6, 2024 as a corrective action.","50"
"November 8, 2024","4","Alberta Express Entry Stream","Law Enforcement Pathway","CLB or NCLC is 6 or higher; Express Entry Profile Expiry Date: April 8, 2025, or later; Minimum Express Entry CRS score of 300 or more; Job offer for full-time employment in Alberta; Job offer from an employer who is a member of the Alberta Association of Chiefs of Police (AACP) in an eligible Law Enforcement occupation","41"
"November 14, 2024","150","Alberta Express Entry Stream","Priority Sectors","Valid work permit; CLB or NCLC is 5 or higher; Job offer for full-time employment in Alberta; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: April 14, 2025, or later; Primary Occupation in the Express Entry profile and 'Job Offer with an Alberta employer' in the construction sector","50"
"November 15, 2024","412","Tourism and Hospitality Stream","-","Did not claim points for a job offer in a regulated occupation; CLB or NCLC 4 or higher; Valid work permit based on a Labour Market Impact Assessment; Work permit expiry date of December 15, 2024 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is a member of an eligible Tourism and Hospitality Stream sector association; Job offer for an eligible Tourism and Hospitality Stream occupation; Work experience of 6 months or more in Alberta","66"
"November 21, 2024","Not Available","Alberta Express Entry Stream","Priority Sectors","Have a valid work permit; CLB or NCLC 5 or higher; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: April 21, 2025, or later; Job offer for full-time employment in Alberta; 12 months of work experience; Meet the requirements to practice if working in a regulated occupation in Alberta; Primary Occupation in the Express Entry profile and 'Job Offer with an Alberta employer' in the health care sector (Dedicated Health Care Pathway occupations excluded)","42"
"November 22, 2024","80","Alberta Opportunity Stream","-","Have a valid work permit; CLB or NCLC 5 or higher; Work experience of 12 months or more; Job offer for full-time employment in Alberta","40"
"November 27, 2024","447","Alberta Opportunity Stream","-","Have a valid Post-Graduation Work Permit; Work permit expiry date of February 28, 2025 or later; Completed education in Alberta; CLB or NCLC 4 or higher; Work experience of 6 months or more in Alberta; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is not: an ineligible occupation under the Alberta Opportunity Stream, or an occupation in the NOC broad occupational categories of '1 - Business, finance and administration occupations' and '6 - Sales and service occupations'","71"
